"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1991-12-31",,,,,,,,,"0.24",",,0,1600","7.0",",,0,","55",",,0,","24",",,0","16",",,0","18",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-01-01",,,,,,,,,"0.00",",,0,1600","0.0",",,0,","53",",,0,","29",",,0","7",",,0","26",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-01-02",,,,,,,,,"0.00",",,0,1600","0.0",",,0,","52",",,0,","40",",,0","14",",,0","37",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-01-03",,,,,,,,,"0.00",",,0,1600","0.0",",,0,","49",",,0,","43",",,0","19",",,0","34",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-01-04",,,,,,,,,"0.20",",,0,1600","4.0",",,0,","52",",,0,","34",",,0","23",",,0","25",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-01-05",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","49",",,0,","33",",,0","16",",,0","27",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-01-06",,,,,,,,,"0.10",",,0,1600","2.0",",,0,","51",",,0,","28",",,0","21",",,0","24",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-01-07",,,,,,,,,"0.33",",,0,1600","9.0",",,0,","59",",,0,","24",",,0","15",",,0","16",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-01-08",,,,,,,,,,,"0.0","T,,0,","57",",,0,","23",",,0","11",",,0","19",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-01-09",,,,,,,,,"0.00",",,0,1600","0.0",",,0,","55",",,0,","33",",,0","8",",,0","28",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-01-10",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","53",",,0,","47",",,0","21",",,0","42",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-01-11",,,,,,,,,"0.00",",,0,1600","0.0",",,0,","52",",,0,","43",",,0","14",",,0","14",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-01-12",,,,,,,,,"0.05",",,0,1600","2.0",",,0,","52",",,0,","17",",,0","11",",,0","11",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-01-13",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","52",",,0,","20",",,0","2",",,0","18",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-01-14",,,,,,,,,"0.17",",,0,1600","7.0",",,0,","57",",,0,","22",",,0","2",",,0","15",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-01-15",,,,,,,,,"0.14",",,0,1600","4.0",",,0,","57",",,0,","26",",,0","7",",,0","19",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-01-16",,,,,,,,,"0.00",",,0,1600","0.0",",,0,","56",",,0,","37",",,0","15",",,0","35",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-01-17",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","54",",,0,","35",",,0","21",",,0","25",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-01-18",,,,,,,,,"0.00",",,0,1600","0.0",",,0,","53",",,0,","37",",,0","11",",,0","29",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-01-19",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","52",",,0,","39",",,0","18",",,0","36",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-01-20",,,,,,,,,"0.00",",,0,1600","0.0",",,0,","51",",,0,","48",",,0","21",",,0","38",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-01-21",,,,,,,,,"0.00",",,0,1600","0.0",",,0,","50",",,0,","39",",,0","16",",,0","22",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-01-22",,,,,,,,,"0.00","T,,0,1600","0.0","T,,0,","50",",,0,","23",",,0","9",",,0","20",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-01-23",,,,,,,,,"0.00","T,,0,1600","0.0","T,,0,","50",",,0,","31",",,0","17",",,0","28",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-01-24",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","49",",,0,","37",",,0","17",",,0","36",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-01-25",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","49",",,0,","43",",,0","24",",,0","40",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-01-26",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","49",",,0,","41",",,0","22",",,0","35",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-01-27",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","49",",,0,","39",",,0","21",",,0","35",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-01-28",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","48",",,0,","43",",,0","24",",,0","37",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-01-29",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","48",",,0,","46",",,0","20",",,0","39",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-01-30",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","47",",,0,","49",",,0","26",",,0","42",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-01-31",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","46",",,0,","53",",,0","28",",,0","50",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-02-01",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","45",",,0,","50",",,0","29",",,0","41",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-02-02",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","45",",,0,","41",",,0","20",",,0","32",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-02-03",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","44",",,0,","37",",,0","19",",,0","32",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-02-04",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","43",",,0,","41",",,0","24",",,0","33",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-02-05",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","43",",,0,","33",",,0","17",",,0","30",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-02-06",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","42",",,0,","41",",,0","19",",,0","35",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-02-07",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","42",",,0,","38",",,0","23",",,0","36",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-02-08",,,,,,,,,"0.14",",,0,1600","2.0",",,0,","45",",,0,","36",",,0","23",",,0","27",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-02-09",,,,,,,,,"0.05",",,0,1600","2.0",",,0,","42",",,0,","31",",,0","21",",,0","27",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-02-10",,,,,,,,,"0.04",",,0,1600",,,"45",",,0,","34",",,0","25",",,0","28",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-02-11",,,,,,,,,"0.71",",,0,1600","13.0",",,0,","59",",,0,","28",",,0","24",",,0","25",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-02-12",,,,,,,,,"0.34",",,0,1600","5.0",",,0,","61",",,0,","33",",,0","21",",,0","32",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-02-13",,,,,,,,,"0.35",",,0,1600","4.0",",,0,","62",",,0,","32",",,0","25",",,0","27",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-02-14",,,,,,,,,"0.13",",,0,1600","3.0",",,0,","61",",,0,","29",",,0","23",",,0","26",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-02-15",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","61",",,0,","32",",,0","18",",,0","28",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-02-16",,,,,,,,,"0.41",",,0,1600","8.0",",,0,","69",",,0,","28",",,0","15",",,0","15",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-02-17",,,,,,,,,"0.33",",,0,1600","10.0",",,0,","74",",,0,","19",",,0","14",",,0","17",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-02-18",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","71",",,0,","26",",,0","7",",,0","23",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-02-19",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","67",",,0,","36",",,0","12",",,0","32",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-02-20",,,,,,,,,"0.61",",,0,1600","4.0",",,0,","70",",,0,","35",",,0","27",",,0","33",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-02-21",,,,,,,,,"0.22",",,0,1600","0.3",",,0,","71",",,0,","37",",,0","24",",,0","33",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-02-22",,,,,,,,,"0.52",",,0,1600","5.0",",,0,","76",",,0,","34",",,0","25",",,0","25",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-02-23",,,,,,,,,"0.33",",,0,1600","0.5",",,0,","74",",,0,","25",",,0","19",",,0","24",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-02-24",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","72",",,0,","32",",,0","13",",,0","30",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-02-25",,,,,,,,,"0.00","T,,0,1600","0.0","P,,0,","71",",,0,","35",",,0","23",",,0","31",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-02-26",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","70",",,0,","40",",,0","20",",,0","35",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-02-27",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","64",",,0,","45",",,0","26",",,0","41",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-02-28",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","62",",,0,","47",",,0","28",",,0","44",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-02-29",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,",,,"46",",,0","27",",,0","43",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-03-01",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","58",",,0,","43",",,0","32",",,0","40",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-03-02",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","58",",,0,","41",",,0","27",",,0","37",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-03-03",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","56",",,0,","40",",,0","33",",,0","37",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-03-04",,,,,,,,,"0.05",",,0,1600","0.0","T,,0,","56",",,0,","37",",,0","24",",,0","28",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-03-05",,,,,,,,,"0.35",",,0,1600","4.0",",,0,","58",",,0,","33",",,0","26",",,0","32",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-03-06",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,",,,"39",",,0","20",",,0","36",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-03-07",,,,,,,,,"0.14",",,0,1600","2.0",",,0,","58",",,0,","42",",,0","26",",,0","34",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-03-08",,,,,,,,,"0.00","T,,0,1600","0.0","P,,0,","57",",,0,","36",",,0","26",",,0","31",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-03-09",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,",,,"37",",,0","18",",,0","33",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-03-10",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","55",",,0,","34",",,0","18",",,0","32",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-03-11",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","54",",,0,","38",",,0","23",",,0","36",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-03-12",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","52",",,0,","42",",,0","25",",,0","42",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-03-13",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","50",",,0,","47",",,0","25",",,0","43",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-03-14",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","49",",,0,","46",",,0","28",",,0","44",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-03-15",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","46",",,0,","45",",,0","32",",,0","42",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-03-16",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","45",",,0,","43",",,0","29",",,0","39",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-03-17",,,,,,,,,"0.19",",,0,1600","5.0",",,0,","51",",,0,","39",",,0","23",",,0","24",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-03-18",,,,,,,,,"0.38",",,0,1600","10.0",",,0,","62",",,0,","25",",,0","19",",,0","24",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-03-19",,,,,,,,,"0.11",",,0,1600","3.0",",,0,","59",",,0,","29",",,0","21",",,0","27",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-03-20",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","53",",,0,","35",",,0","12",",,0","35",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-03-21",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,",,,"38",",,0","25",",,0","33",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-03-22",,,,,,,,,"0.01",",,0,1600","1.0",",,0,","52",",,0,","39",",,0","21",",,0","32",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-03-23",,,,,,,,,,,,,"53",",,0,","36",",,0","26",",,0","28",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-03-24","    2",",,0",,,"0.90",",,0",,,,,"5.0",",,0,","56",",,0,","34",",,0","26",",,0","33",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-03-25",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","52",",,0,","42",",,0","20",",,0","38",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-03-26",,,,,,,,,"0.03",",,0,1600","1.0",",,0,","53",",,0,","39",",,0","29",",,0","34",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-03-27",,,,,,,,,"0.37",",,0,1600","2.0",",,0,","53",",,0,","43",",,0","29",",,0","38",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-03-28",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,",,,"40",",,0","25",",,0","39",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-03-29",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","49",",,0,","50",",,0","24",",,0","42",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-03-30",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,",,,"48",",,0","28",",,0","47",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-03-31",,,,,,,,,"0.00","T,,0,1600","0.0","P,,0,","46",",,0,","47",",,0","29",",,0","35",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-04-01",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","43",",,0,","48",",,0","23",",,0","43",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-04-02",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","42",",,0,","49",",,0","29",",,0","42",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-04-03",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","40",",,0,","52",",,0","32",",,0","50",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-04-04",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,",,,"53",",,0","33",",,0","41",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-04-05",,,,,,,,,"0.19",",,0,1600","1.0",",,0,","36",",,0,","43",",,0","29",",,0","41",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-04-06",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","34",",,0,","41",",,0","27",",,0","39",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-04-07",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","30",",,0,","44",",,0","22",",,0","43",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-04-08",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","28",",,0,","47",",,0","34",",,0","45",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-04-09",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","25",",,0,","51",",,0","31",",,0","49",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-04-10",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","20",",,0,","50",",,0","35",",,0","47",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-04-11",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","17",",,0,","52",",,0","55",",I,0","34",",I,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-04-12",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","14",",,0,","53",",,0","44",",I,0","51",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-04-13",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","14",",,0,","54",",,0","44",",,0","51",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-04-14",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","9",",,0,","54",",,0","37",",,0","52",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-04-15",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","9",",,0,","53",",,0","33",",,0","41",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-04-16",,,,,,,,,"0.08",",,0,1600","0.0","P,,0,","7",",,0,","45",",,0","31",",,0","42",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-04-17",,,,,,,,,"0.02",",,0,1600","0.0","P,,0,",,,"45",",,0","35",",,0","43",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-04-18",,,,,,,,,"1.38",",,0,1600","12.0",",,0,","18",",,0,","45",",,0","22",",,0","24",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-04-19",,,,,,,,,"0.08",",,0,1600","2.0",",,0,","18",",,0,","28",",,0","22",",,0","27",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-04-20",,,,,,,,,"0.00","P,,0,1600","0.0",",,0,",,,"39",",,0","21",",,0","39",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-04-21",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","8",",,0,","50",",,0","26",",,0","49",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-04-22",,,,,,,,,"0.51",",,0,1600","4.0",",,0,","10",",,0,","49",",,0","27",",,0","32",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-04-23",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","9",",,0,","37",",,0","25",",,0","35",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-04-24",,,,,,,,,"0.00","T,,0,1600","0.0","P,,0,","6",",,0,","47",",,0","24",",,0","47",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-04-25",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","4",",,0,","54",",,0","33",",,0","53",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-04-26",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","0",",,0,","61",",,0","38",",,0","60",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-04-27",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","0",",,0,","63",",,0","43",",,0","62",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-04-28",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","0",",,0,","62",",,0","40",",,0","60",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-04-29",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","0",",,0,","64",",,0","42",",,0","62",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-04-30",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","0",",,0,","62",",,0","43",",,0","57",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-05-01",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","0",",,0,","59",",,0","33",",,0","41",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-05-02",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","0","P,,0,","53",",,0","30",",,0","51",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1992-05-03",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","0","P,,0,","59",",,0","37",",,0","58",",,0,1600",,,,,,,,,,,,
