"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-01-27",,,,,,,,,"0.04",",,0,1600",,,,,"12",",,0","-3",",,0","11",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-01-28",,,,,,,,,"0.01",",,0,1600","1.0",",,0,","65",",,0,","19",",,0","4",",,0","16",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-01-29",,,,,,,,,"0.20",",,0,1600","4.0",",,0,","66",",,0,","23",",,0","13",",,0","14",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-01-30",,,,,,,,,"0.05",",,0,1600","1.0",",,0,","64",",,0,","27",",,0","11",",,0","24",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-01-31",,,,,,,,,"0.45",",,0,1600","9.0",",,0,","73",",,0,","24",",,0","15",",,0","18",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-02-01",,,,,,,,,"0.16",",,0,1600",,,"75",",,0,","20",",,0","6",",,0","16",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-02-02",,,,,,,,,"0.12",",,0,1600",,,"76",",,0,","17",",,0","9",",,0","16",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-02-03",,,,,,,,,"0.00","T,,0,1600","0.0","P,,0,","72",",,0,","31",",,0","4",",,0","26",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-02-04",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","69",",,0,","30",",,0","21",",,0","22",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-02-05",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","68",",,0,","25",",,0","7",",,0","17",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-02-06",,,,,,,,,"0.00","T,,0,1600","0.0","P,,0,","67",",,0,","34",",,0","7",",,0","23",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-02-07",,,,,,,,,"0.69",",,0,1600","32.0",",,0,","90",",,0,","25",",,0","9",",,0","9",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-02-08",,,,,,,,,"0.02",",,0,1600",,,"82",",,0,","18",",,0","-6",",,0","14",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-02-09",,,,,,,,,"0.01",",,0,1600","3.0",",,0,","78",",,0,","25",",,0","13",",,0","19",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-02-10",,,,,,,,,"0.43",",,0,1600","6.0",",,0,","79",",,0,","27",",,0","18",",,0","26",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-02-11",,,,,,,,,"0.08",",,0,1600","2.0",",,0,","76",",,0,","37",",,0","19",",,0","37",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-02-12",,,,,,,,,"0.08",",,0,1600","2.0",",,0,","75",",,0,","38",",,0","26",",,0","26",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-02-13",,,,,,,,,"0.59",",,0,1600","14.0",",,0,","85",",,0,","26",",,0","9",",,0","10",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-02-14",,,,,,,,,"0.12",",,0,1600","4.0",",,0,","84",",,0,","10",",,0","-4",",,0","1",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-02-15",,,,,,,,,"0.02",",,0,1600",,,"82",",,0,","3",",,0","-9",",,0","0",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-02-16",,,,,,,,,"0.02",",,0,1600",,,"78",",,0,","14",",,0","-5",",,0","13",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-02-17",,,,,,,,,"0.47",",,0,1600",,,,,"14",",,0","9",",,0","13",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-02-18",,,,,,,,,"0.57",",,0,1600","7.0",",,0,","87",",,0,","24",",,0","8",",,0","20",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-02-19",,,,,,,,,"0.03",",,0,1600","2.0",",,0,","84",",,0,","31",",,0","16",",,0","31",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-02-20",,,,,,,,,"0.00","P,,0,1600","0.0",",,0,",,,"31",",,0","13",",,0","23",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-02-21",,,,,,,,,"0.07",",,0,1600","1.0",",,0,",,,"26",",,0","12",",,0","24",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-02-22",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","78",",,0,","35",",,0","14",",,0","30",",,0,1600",,,,,,,,,,,,
